Name,Position,Birth_Date,Height,Weight
Pete Babando,LW,5/10/1925,5-9 ft,187
Sergei Babariko,G,,,
Anton Babchuk,D,5/6/1984,6-5 ft,200
Bobby Babcock,D,8/3/1968,6-1 ft,222
Warren Babe,LW,9/7/1968,6-2 ft,190
Yuri Babenko,C,1/2/1978,6-1 ft,200
Mitch Babin,C,11/1/1954,6-2 ft,195
John Baby,D,5/18/1957,6-0 ft,195
Dave Babych,D,5/23/1961,6-2 ft,215
Wayne Babych,RW,6/6/1958,5-11 ft,191
Jergus Baca,D,1/4/1965,6-2 ft,211
Jason Bacashihua,G,9/20/1982,5-11 ft,177
Ryan Bach,G,10/21/1973,6-1 ft,185
Karch Bachman,LW,3/10/1997,5-10 ft,175
Richard Bachman,G,7/25/1987,5-10 ft,183
David Backes,C,5/1/1984,6-3 ft,221
Johan Backlund,G,7/24/1981,6-2 ft,198
Mikael Backlund,C,3/17/1989,6-1 ft,199
Christian Backman,D,4/28/1980,6-4 ft,210
Mattias Backman,D,10/3/1992,6-2 ft,169
Mike Backman,RW,1/2/1955,5-10 ft,175
Pete Backor,D,4/29/1919,6-0 ft,190
Nicklas Backstrom,C,11/23/1987,6-1 ft,213
Niklas Backstrom,G,2/13/1978,6-2 ft,192
Nils Backstrom,D,6/29/1986,,
Ralph Backstrom,C,9/18/1937,5-10 ft,165
Brandon Baddock,LW,3/29/1995,6-3 ft,205
Patrik Baertschi,C/RW,8/20/1984,,
Sven Baertschi,LW,10/5/1992,5-11 ft,192
Drew Bagnall,D,10/26/1983,6-3 ft,220
Zdenek Bahensky,RW,1/3/1986,,
Paul Baier,D,2/2/1985,,
Ace Bailey,RW,7/3/1903,5-10 ft,160
Ace Bailey,LW,6/13/1948,5-11 ft,192
Bob Bailey,RW,5/29/1931,5-11 ft,180
Casey Bailey,RW,10/27/1991,6-3 ft,195
Jason Bailey,RW,6/4/1987,,
Josh Bailey,C,10/2/1989,6-1 ft,210
Justin Bailey,RW,7/1/1995,6-3 ft,214
Kyle Bailey,C,10/15/1986,,
Reid Bailey,D,5/28/1956,6-2 ft,200
Scott Bailey,G,5/2/1972,6-0 ft,195
Joel Baillargeon,LW,10/6/1964,6-1 ft,205
Robert Baillargeon,C,11/26/1993,,
Dan Bain,C,02/14/1874,,
Ken Baird,D,2/1/1951,6-0 ft,190
Bill Baker,D,11/29/1956,6-1 ft,195
Hobey Baker,R,01/15/1892,5-9 ft,160
Jamie Baker,C,8/31/1966,6-0 ft,195
Steve Baker,G,5/6/1957,6-3 ft,200
Peter Bakovic,RW,1/31/1965,6-2 ft,200
Chris Bala,LW,9/24/1978,6-1 ft,196
Stanislav Balan,C,1/30/1986,,
Jaroslav Balastik,RW,11/28/1979,6-2 ft,205
Rudolfs Balcers,LW,4/8/1997,5-11 ft,165
Helmut Balderis,RW,7/31/1952,5-11 ft,190
Doug Baldwin,D,11/2/1922,6-0 ft,175
Gord Baldwin,D,3/1/1987,,
